"Cap waktu","Bagaimana Kualitas produk yang kami jual?","Berapa Skor kepuasan anda terhadap layanan toko kami?","Bagaimana dengan kenyaman Toko kami pada saat anda sedang berbelanja?","Bagaimana dengan kelengkapan produk yang ada ditoko kami?","Siapakah yang mengrokomendasikan Toko kami terhadap anda?","Apa Kritik dan saran anda untuk Toko kami dalam meningkatkan kualitas pelayanan Toko kami? "
"2023/05/26 2:44:56 PM GMT+8","Sangat Baik","8","Nyaman","Cukup  Lengkap","Teman/Kerabat","Karyawan nya ramah2"
"2023/05/26 2:50:01 PM GMT+8","Sangat Baik","10","Nyaman","Lengkap","Sosial Media","Tambahkan juga accesories pada item yg dijual"
"2023/05/26 2:52:11 PM GMT+8","Baik","7","Nyaman","Cukup  Lengkap","Teman/Kerabat","Produknya di lengkapkan"
"2023/05/26 2:53:28 PM GMT+8","Sangat Baik","10","Sangat Nyaman","Sangat Lengkap","Keluarga","Menjadi lebih baik lagi dan ramah terhadap orang2"
"2023/05/26 2:54:47 PM GMT+8","Baik","6","Nyaman","Lengkap","Teman/Kerabat","saya rasa sangat nyaman ktika berbelanja karna penjualnya sangat ramah"
"2023/05/26 3:02:30 PM GMT+8","Sangat Baik","10","Sangat Nyaman","Lengkap","Sahabat","Kualitasnya sangat memuaskan, nyaman dan bintang 5"
"2023/05/26 3:26:19 PM GMT+8","Buruk","2","Nyaman","Kurang Lengkap","Sosial Media","jelek"
"2023/05/26 3:49:18 PM GMT+8","Sangat Baik","8","Sangat Nyaman","Sangat Lengkap","Sahabat","Pelayanan cukup bagus"
"2023/05/26 4:30:23 PM GMT+8","Sangat Baik","8","Nyaman","Cukup  Lengkap","Sosial Media","Saran saya lebih meningkatkan layanan toko nya agar bisa lebih baik lagi"
"2023/05/26 4:45:08 PM GMT+8","Sangat Baik","7","Nyaman","Lengkap","Teman/Kerabat","Tokonya cantik"
"2023/05/26 4:45:42 PM GMT+8","Baik","8","Nyaman","Cukup  Lengkap","Teman/Kerabat","Tokonya diperbesar lagi"
"2023/05/26 4:46:25 PM GMT+8","Baik","6","Nyaman","Lengkap","Sosial Media","Karyawannya baik"
"2023/05/26 4:46:26 PM GMT+8","Sangat Baik","10","Sangat Nyaman","Sangat Lengkap","Teman/Kerabat","Mohon ditingkatkan lagi pelayanannya"
"2023/05/26 4:47:26 PM GMT+8","Sangat Baik","10","Sangat Nyaman","Lengkap","Teman/Kerabat","Adakan sale di akhir bulan"
"2023/05/26 4:48:28 PM GMT+8","Sangat Baik","9","Sangat Nyaman","Lengkap","Sosial Media","Sangat dekat dari rumah saya"
"2023/05/26 5:06:34 PM GMT+8","Baik","7","Nyaman","Lengkap","Teman/Kerabat","perbanyak baju ukutan big size"
"2023/05/26 7:41:59 PM GMT+8","Baik","8","Cukup nyaman","Lengkap","Teman/Kerabat","Terus ikuti permintaan pasar misalnya pakaian yang lagi trend"